internal_id_number,name,income_tax_number,entity_reg_number,client_type,vat_reg_number,vat_category,month_end,last_day,email,cell_number,contact_person,contact_person_cell,registered_address,is_active,is_sa_resident,first_financial_year
P0115,ITHEMBA WINDER SERVICES (PTY) LTD,9200599224,2016/426255/07,Private Company,,,2,28,johnny@ieint.com,836254725,,,"IE Business Center 2nd Floor
Cnr of Buiten Street & StatewayWelkom
Free State
South Africa
9459",1,1,2017
P0116,RCM SCHOOL OF EXCELLENCE (PTY) LTD,9180744220,2016/364032/07,Private Company,4250279207,,6,30,sharmaine@rightclickmedia.co.za,,,,,1,1,
P0118,RCM DIGITAL SOLUTIONS (PTY) LTD,9436218185,2016/069998/07,Private Company,,A,2,28,j-accounts@rightclickmedia.co.za,,,,,1,1,
P0119,CORFUWAY (PTY) LTD,9244886173,2017/134043/07,Private Company,4830266229,,2,28,ledmatlec@gmail.com,823000867,,,"11 13TH Street
Voorspoed Industrial AreaWelkom
Free State
South Africa
9459",1,1,2018
P0120,RIGHT CLICK MEDIA SOUTH AFRICA (PTY) LTD,9108059230,2016/518532/07,Private Company,,,2,28,jeff.ellis@jellismedia.co.za,jeff0826890473,,,,1,1,2017
P0121,VAN ALPHEN FARMING (PTY) LTD,9951258160,2016/511385/07,Private Company,4350278570,,2,28,ledmatlec@gmail.com,823000867,,,"11 13th Street
Voorspoed Industrial AreaWelkom
Free State
South Africa
9459",1,1,2017
P0122,JVA HOLDING (PTY) LTD,9952258169,2016/519576/07,Private Company,,,2,28,ledmatlec@gmail.com,823000867,,,"11 13th Street
Voorspoed
Industrial Area
Welkom
Free State
South Africa
9459",1,1,2017
P0123,PLAYBET WESTERN CAPE (PTY) LTD DE REGISTERED,9734741169,2016/528074/07,Private Company,,,2,28,fulvio@playbet.co.za,0824656233valer,,,"546 JULES STREET
MALVERNJOHANNESBURG
GAUTENG
South Africa
2094",0,1,2017
P0124,RIGHT CLICK MEDIA PLACEMENT (PTY) LTD,9749718160,2017/013011/07,Private Company,,,2,28,sharmaine@rightclickmedia.co.za,826890473,,,,1,1,
P0125,SEKOTLO MINING AND CONSTRUCTION (PTY) LTD,9184246198,2013/149169/07,Private Company,,,2,28,ambroses@wabatho.co.za,836547279,,,"NO5 CORRIELOCH PLACE
BRIGADOON GOLF ESTATERUSTENBURG
NORTH WEST
South Africa
299",1,1,2014
P0126,SEKOTLO TRADING (PTY) LTD,9505547159,2007/008032/07,Private Company,4030243051,,2,28,ambrosessekotlo@gmail.com,836547279,,,,1,1,2008
P0127,MAVERICK CLOUD TECHNICAL (PTY) LTD,9676975163,2017/081730/07,Private Company,,A,2,28,reneb@themaverickgroup.co.za,605039877,,,"UNIT 21 VILLA BELLA
PARKLANDSCAPE TOWN
WESTERN CAPE
South Africa
7441",1,1,2017
P0128,BH AND E SERVICES (PTY) LTD,9417689180,2017/089366/07,Private Company,,,2,28,sales@lebowinders.co.za,781778488,,,,1,1,2018
P0129,JVA MANUFACTURES (PTY) LTD,9525334182,2017/128440/07,Private Company,4850279664,,2,28,oddete@matlec.com,823000867,,,"11 13TH Street
Voorspoed Industrial AreaWelkom
Free State
South Africa
9459",1,1,2018
P0130,PLAYBET PTA (PTY) LTD,9011608248,2015/103619/07,Private Company,,,2,28,fulvio@playbet.co.za,,,,"287 PRETORIUS STREET
PRETORIAPRETORIA
GAUTENG
South Africa
1",1,1,2016
P0132,PLAYBET HOLDINGS (PTY) LTD,9621811174,2017/189745/07,Private Company,,,2,28,fulvio@playbet.co.za,824656233,,,"556 JULES STREET
MALVERNJOHANNESBURG
GAUTENG
South Africa
2094",1,1,2018
P0133,APPLORD ZA (PTY) LTD,9336891172,2013/081999/07,Private Company,,,2,28,sharmaine@rightclickmedia.co.za,760607162,,,"13 Stone Edge Complex
DJ Theron Crescent
Meyersdal
Alberton
Gauteng
South Africa
1448",1,1,2014
P0134,SUPER FOOD CO (PTY) LTD,9044038249,2014/022645/07,Private Company,,,2,28,maxi@etconsult.co.za,842092331,,,"22 AVONDALE DRIVE
BALLITODURBAN
KWA ZULU NATAL
South Africa
4420",0,1,
P0135,EQUITY 140 PROPERTY INVESTMENTS (PTY) LTD,9288167225,2017/078666/07,Private Company,,,2,28,maxi@etconsult.co.za,842092331,,,"22 AVONDALE DRIVE
BALLITODURBAN
KWA ZULU NATAL
South Africa
4420",0,1,2017
P0136,IKIGAI (PTY) LTD,9789390169,2016/129987/07,Private Company,,,2,28,maxi@etconsult.co.za,842092331,,,"22 AVONDALE DRIVE
BALLITODURBAN
KWA ZULU NATAL
South Africa
4420",0,1,2017
P0137,REAL FOOD GROUP  (PTY) LTD,9766122163,2015/004565/07,Private Company,,,2,28,maxi@etconsult.co.za,842092331,,,"22 AVONDALE DRIVE
BALLITODURBAN
KWA ZULU NATAL
South Africa
4420",0,1,
P0138,LIENE EIENDOMME (PTY) LTD - RESIGNED,9943394164,2017/240988/07,Private Company,,,2,28,orconstruction@hotmail.com,0725770854Brend,,,,0,1,2018
P0139,INNOVATE 360 MEDIA (PTY) LTD,9098145221,2015/220047/07,Private Company,4830277978,,6,30,darryl@innovate360.co.za,823779331,,,,0,1,
P0140,I360 INTERNATIONAL (PTY) LTD,9556301183,2017/250332/07,Private Company,,,2,28,darryl@inovate360.co.za,823779331,,,,0,1,2018
P0141,SL MKOKENG (PTY) LTD,,2017/262239/07,Private Company,,,2,28,sebongelelisbeth@gmail.com,0797025820Pales,,,"50 MAREE STREET
RIEBEECKSTADRIEBEECKSTAD
FREE STATE
RSA
9469",0,1,2018
P0142,ALPION PROFESSIONAL SERVICES (PTY) LTD,9741517172,2019/479403/07,Private Company,,,2,28,keagenva@alpion.co.za,615352748,,,"456 FIR AVENUE
BEVERLY GARDENSJOHANNESBURG
GAUTENG
South Africa
2194",1,1,
P0143,BULELA WASTE MANAGEMENT AND GENERAL TRADING (PTY) LTD,9931403167,2017/226600/07,Private Company,,,2,28,charlotte@cmaxcivil.co.za,,,,"NO 5 THIRTEENTH STREET
VOORSPOED EAST
INDUSTRIAL AREA
WELKOM
FREE STATE
South Africa
9459",0,1,2018
P0144,PLAYBET JHB (PTY) LTD,9389825184,2017/292993/07,Private Company,4910287152,,2,28,fulvio@playbet.co.za,0824656233Valer,,,"165 BRAM FISHER DRIVE
RANDBURGJOHANNESBURG
GAUTENG
South Africa
2194",1,1,2018
P0145,TEXTNET (PTY) LTD RESIGNED,9902749150,2014/203648/07,Private Company,,,2,28,fulvio@playbet.co.za,0824623263FULVI,,,"18 BIZET AVENUE
VAN DER HOFFPARKPOTCHEFSTROOM
NORTH WEST
South Africa
2531",0,1,2015
P0146,BIZALLIANCE (PTY) LTD,9128277226,2016/142474/07,Private Company,,,2,28,ronel@bizarmour.co.za,798843207,,,"THE BUSINESS EXCHANGE
150 RIVONIA ROADSANDTON
GAUTENG
South Africa
2057",1,1,2017
P0147,EYABANTU BAKERS (PTY) LTD,9114293237,2017/248344/07,Private Company,,,2,28,,,,,"HOUSE NO 2976
DUBE TOLL PLAZATHEMBENI
KWA - ZULU NATAL
South Africa
4126",0,1,2018
P0148,MAVERICK SIYAKHULA (PTY) LTD,9449818187,2017/422910/07,Private Company,,,2,28,accounts@mavericktelecom.co.za,832636366,,,"UNIT S14 & S15 SPEARHEAD BUSINESS PARK
MONTAGUE DRIVE
MONTAGUE GARDENS
CAPE TOWN
WESTERN CAPE
South Africa
7441",1,1,2018
P0149,FUTURE LIST (PTY) LTD,9120365235,2017/480689/07,Private Company,,,2,28,jarette@auraproperty.co.za,,,,,0,1,2018
P0150,ABC GROUP HOLDINGS (PTY) LTD,9726445175,2019/195248/07,Private Company,4260287042,A,2,28,michelle@abcinvestments.co.za,,,,"26 PERM STREET
SONNEGLANS EXT 27SONNEGLANS EXT 27
GAUTENG
South Africa
2158",1,1,
P0151,IE CAPITAL BRIDGE (PTY) LTD,9023118269,2017/505680/07,Private Company,,A,2,28,johnny@ieint.com,836254725,,,"IE Business Centre 2nd Floor
Cnr of Buiten Street & StatewayWelkom
Free State
South Africa
9459",1,1,2018
P0152,KARAKIOSI INVESTMENTS (PTY) LTD,,2017/507114/07,Private Company,,,2,28,stilfontein@okstilf.com,823085354,,,"20  L SUZET AVE
FLAMWOODKLERKSDORP
NORTH WEST
South Africa
2571",1,1,2018
P0153,PABALA CONSULTING (PTY) LTD,9430953167,2010/022305/07,Private Company,,,2,28,paballo@pabalaconsulting.com,736912331,,,,0,1,
P0154,PHYTO PHARMACEUTICALS (PTY) LTD,9457885169,1979/004598/07,Private Company,4250256049,B,2,28,penny@playbet.co.za,824656233,,,"546 JULES STREET
MALVERNJOHANNESBURG
GAUTENG
South Africa
2094",1,1,1980
P0155,SILVERMOON TEN (PTY) LTD T/A OK FOODS,9058106643,2018/053737/07,Private Company,4960185439,C,2,28,stilfontein@okstilf.com,823085354,,,,0,1,2018
P0156,BIANCO NERO (PTY) LTD,9191416230,2018/069844/07,Private Company,,,2,28,aileenb@mavericktelecom.co.za,832227175,,,"UNIT S14 & S15  SPEARHEAD BUSINESS PARK
MONTAGUE DRIVE
MONTAGUE GARDENS
CAPE TOWN
WESTERN CAPE
South Africa
7441",0,1,
P0157,NEW TECH ENERGY (PTY) LTD,9811303164,2016/041313/07,Private Company,,A,2,28,sales@ntpe.co.za,734131901,,,"46 BOSHOFF STREET
ODENDAALSRUSODENDAALSRUS
FREE STATE
South Africa
9480",0,1,
P0158,IE PROPERTY DEVELOPMENT (PTY) LTD,9565506186,2018/092938/07,Private Company,4500295912,A,2,28,jason@iecca.co.za,836254725,,,"IE Business Center  2nd Floor
Cnr of Buiten Street & StatewayWelkom
Free State
South Africa
9459",1,1,2018
P0159,OPENLANE MANAGEMENT (PTY) LTD t/a Rawson Properties,9566538188,2018/210926/07,Private Company,,,2,28,bills.zbzm.9nf4rhwtn6947tjl@xerofiles.com,823085354,,,,1,1,2019
P0160,NEW TECH PRECISION ENGINERING (PTY) LTD,9751050171,2018/205270/07,Private Company,4780293694,A,2,28,sales@ntpe.co.za,836254725,,,"IE Business Center  2nd Floor
Cnr of Buiten Street & StatewayWelkom
Free State
South Africa
9459",1,1,2019
P0161,J2E PROPERTIES (PTY) LTD,9816953161,2018/226844/07,Private Company,4060292143,B,2,28,johnny@ieint.com,836254725,,,"IE Business Center  2nd Floor
Cnr of Buiten Street & StatewayWelkom
Free State
South Africa
9459",1,1,2019
P0163,ALPION SOLUTIONS (PTY) LTD,9932491161,2017/414089/07,Private Company,4510282413,,2,28,Charlotteva@alpion.co.za,615352748,,,"1004A
267 WEST AVENUE
DIE HOEWES
CENTURION
GAUTENG
South Africa
157",1,1,2018
P0164,AFRICAN RING (PTY) LTD,9530659185,2018/252766/07,Private Company,,,2,28,afriring@tiscali.co.za,784573030,,,"19 ILL VILLAGIO
ALABASTER AVENUEJOHANNESBURG
GAUTENG
South Africa
2091",1,1,2019
P0165,PHOENIX HOUSE ADDICTION REHABILITATION CENTRE (PTY) LTD LIQU,9562788175,2016/021529/07,Private Company,4440274050,,2,28,accounts@phoenixhouse.co.za,,,,"135 IVY ROAD
NORWOODJOHANNESBURG
GAUTENG
South Africa
2192",0,1,
P0166,NEW TECH DEVELOPMENT (PTY) LTD,9010948264,2018/282172/07,Private Company,4480300666,A,2,28,vvv100@hotmail.com,836254725,,,"IE Business Center
Cnr of Buiten Street & StatewayWelkom
Free State
South Africa
9459",1,1,2019
P0167,MAVERICK CONVERGED TECHNOLOGIES (PTY) LTD,9035098269,2018/345861/07,Private Company,4950302218,B,2,28,accounts@mavericktelecom.co.za,832125930,,,"UNIT S14 & S15  SPEARHEAD BUSINESS PARK
MONTAGUE DRIVE
MONTAGUE GARDENS
CAPE TOWN
WESTERN CAPE
South Africa
7441",1,1,2019
P0168,ROMADOR 162 (PTY) LTD,9308308171,2009/018949/07,Private Company,,,2,28,dinok@romador.co.za,828541971,,,"39 Adriana Crescent
Gateway Industrial Park
Rooihuiskraal
Centurion
Gauteng
South Africa
157",1,1,2010
P0169,EVDA FOOD (PTY) LTD,9207555237,2018/381655/07,Private Company,4010286310,,2,28,evan@megadial.com,825248370,,,"10 Brown Street
VryburgVryburg
North West
South Africa
8601",1,1,2019
P0170,ROMADOR GROUP HOLDINGS (PTY) LTD,9053250263,2018/512991/07,Private Company,,,2,28,dinok@romador.co.za,828541971,,,"39 Adriana Crescent
Gateway Industrial Park
Rooihuiskraal
Centurion
Gauteng
South Africa
176",1,1,2019
P0171,BDEKM ENTERPRISES (PTY) LTD,9413167199,2018/378984/07,Private Company,,,2,28,,,,,"1 KEEROM STREET
INDUSTRIALWELKOM
FREE STATE
South Africa
9459",0,1,2019
P0172,HESHMO (PTY) LTD,9778122177,2018/429926/07,Private Company,,,2,28,evan@megadial.co.za,825608670,,,"9 Macbeth Street
VryburgVryburg
North West
South Africa
8600",1,1,2019
P0173,ROMADOR TELECOMS (PTY) LTD,9044603240,2015/122367/07,Private Company,4240273336,,2,28,lizelle@romador.co.za,828541971,,,"39 Adriana Crescent
Gateway Industrial Park
Rooihuiskraal
Centurion
Gauteng
South Africa
157",1,1,2015
P0174,ROMADOR TECHNOLOGIES (PTY) LTD,9894347161,2016/366638/07,Private Company,,,2,28,lizelle@romador.co.za,,,,"39 Adriana Crescent
Gateway Industrial Park
Rooihuiskraal
Centurion
Gauteng
South Africa
157",1,1,2017
P0175,PRONTO COMPUTER SOLUTIONS (PTY) LTD,9420877160,2010/005233/07,Private Company,,,2,28,dinok@romador.co.za,820698915,,,"39 Adriana Crescent
Gateway Industrial Park
Rooihuiskraal
Centurion
Gauteng
South Africa
157",1,1,2011
P0177,EV PROP (PTY) LTD,9352458195,2018/544970/07,Private Company,4710286487,C,2,28,evan@megadial.com,,,,"36 Market Street
VryburgVryburg
North West
South Africa
8601",1,1,2019
P0178,VENGIES SLOTS (PTY) LTD,9504001190,2018/613786/07,Private Company,,,2,28,accounts@tictacbets.co.za,,,,"3 ACACIA STREET
KURUMANKURUMAN
NORTHERN CAPE
South Africa
8460",1,1,2019
P0179,FRANCARLO EMPOWERMENT (PTY) LTD,9096298246,2018/531129/07,Private Company,,,2,28,JAXON@YEBO.CO.ZA,832848111,,,"10 NYM STREET
BEDELIAWELKOM
FREE STATE
South Africa
9459",1,1,2019
P0180,BLACK MOON PROPERTIES (PTY) LTD,9345475199,2018/492597/07,Private Company,,,2,28,keagenva@alpion.co.za,615352748,,,"456 FIR AVENUE
BEVERLY GARDENSJOHANNESBURG
GAUTENG
South Africa
2194",1,1,2019
P0182,OB ANGEL FOODS (PTY) LTD,9413345191,2019/014039/07,Private Company,,A,2,28,oceanpotc@gmail.com,662016273,,,"26 BORCHERD STREET
POTCHEFSTROOMPOTCHEFSTROOM
NORTH WEST
South Africa
2531",1,1,2019
P0183,J A I B ELJADA PARK (PTY) LTD,9577756183,2019/015015/07,Private Company,,,2,28,JOHNNY@IEINT.COM,836254725,,,"182 CONSTANTIA ROAD
DAGBREEKWELKOM
FREE STATE
South Africa
9459",0,1,
P0184,TUKULA TELECOMS (PTY) LTD,9580671189,2019/015041/07,Private Company,,,2,28,johannfourie81@gmail.com,728599743,,,"182 CONSTANTIA ROAD
DAGBREEKWELKOM
FREE STATE
South Africa
9459",1,1,2019
P0185,THE NEW FICKSBURG  (PTY) LTD,9581662187,2019/015063/07,Private Company,,,2,28,JOHNNY@IEINT.COM,,,,"464 WISTERIA AVENUE
FAERIE GLEN X73PRETORIA
GAUTENG
South Africa
2094",1,1,
P0186,J A I B AYAN (PTY) LTD,9578676182,2019/015091/07,Private Company,,,2,28,JOHNNY@IEINT.COM,768403612,,,"182 CONSTANTIA ROAD
DAGBREEKWELKOM
FREE STATE
South Africa
9459",1,1,
P0187,IE CAPITAL RENTALS (PTY) LTD,9579672180,2019/016148/07,Private Company,,A,2,28,JOHNNY@IEINT.COM,836254725,,,"IE Business Center  2nd Floor
Cnr of Buiten Street & StatewayWelkom
Free State
South Africa
9459",1,1,2019
P0190,TOUCHCLOUDS SUPPLIES (PTY) LTD,9832182175,2019/235313/07,Private Company,,,2,28,mutlemosiane@gmail.com,604181354,,,"HOUSE 93
JOUBERTONKLERKSDORP
NORTH WEST
South Africa
2574",0,1,2020
P0191,IGUARD U SECURITY (PTY) LTD,9379547194,2019/199007/07,Private Company,,,2,28,keenanjedwards@gmail.com,718684278,,,"2 LE MOULIN 0 ELIZABETH ROAD
BEDFORDVIEW
Alberton
GERMISTON
GAUTENG
South Africa
2008",0,1,2020
P0192,ABISOURCE (PTY) LTD,9192115245,2019/188977/07,Private Company,4710285992,,2,28,info@abisource.co.za,726366647,,,"1 LONG ROAD
BEDELIAWELKOM
FREE STATE
South Africa
9459",0,1,2020
P0193,GREENVILLE TRADING 599 (PTY) LTD,9044254184,2019/189300/07,Private Company,4040231609,A,2,28,luckyboy.ramos@gmail.com,824810925,,,"183  POWER ROAD
INDUSTRIAL AREAWELKOM
FREE STATE
South Africa
9459",1,1,2020
P0194,IE CAPITAL HOLDINGS (PTY) LTD,9273301243,2019/212600/07,Private Company,,A,2,28,johnny@ieint.com,836254725,,,"IE Business Center  2nd Floor
Cnr of Buiten Street & StatewayWelkom
Free State
South Africa
9459",1,1,2020
P0195,ALSONR INVESTMENTS (PTY) LTD,9577948186,2019/356959/07,Private Company,,,2,28,alwyn48@yahoo.com,844043839,,,"464 WISTERIA AVENUE
FAERIE GLEN X73PRETORIA
GAUTENG
South Africa
2094",0,1,2020
P0196,TUKULA HOLDINGS (PTY) LTD,,2015/370925/07,Private Company,,,2,28,johannfourie81@gmail.com,728599743,,,"749 LOBELIA STREET
MORELETA PARKPRETORIA
GAUTENG
South Africa
181",1,1,2016
P0197,LINCOLN PLACE (PTY) LTD,9333878198,2019/222492/07,Private Company,,,2,28,johnny@ieint.com,836254725,,,"182 CONSTANTIA ROAD
DAGBREEKWELKOM
FREE STATE
South Africa
9459",1,1,2020
P0198,IE CAPITAL INVESTMENTS (PTY) LTD,9375557197,2019/243108/07,Private Company,,A,2,28,johnny@ieint.com,836254725,,,"IE Business Center
2nd Floor
Cnr of Buiten Street & Stateway
Welkom
Free State
South Africa
9459",1,1,2020
P0200,MASHUDU PLANT HIRE (PTY) LTD RESIGNED,9585299184,2017/519146/07,Private Company,,,2,28,Spmulidzi@gmail.com,,,,"109 ORANJE STREET
RANDLES PARKKLERKSDORP
NORTH WEST
South Africa
2571",0,1,2018
P0201,ABC GROUP INVESTMENT (PTY) LTD,9469887179,2015/124249/07,Private Company,4880284163,A,2,28,michelle@abcinvestments.co.za,,,,"GROUND FLOOR BLOCK 2
WHITEHILL JUNXION OFFICE PARKLONEHILL
GAUTENG
South Africa
2062",1,1,2016
P0202,ERGON MACHINING AND ENGINEERING CO (PTY) LTD,9052335263,2018/580958/07,Private Company,4190285587,C,2,28,info@ergon.co.za,832601585,,,"56 TILE ROAD
BOKSBURG NORTHBOKSBURG
GAUTENG
South Africa
1459",1,1,2019
P0203,NEW LANTERN ROADHOUSE (PTY) LTD,9828233172,2019/354350/07,Private Company,4430287765,B,2,28,maria@ieint.com,607834328,,,"257 KOPPIE ALLEEN ROAD
REITZPARKWELKOM
FREE STATE
RSA
9459",1,1,2020
P0204,IE ESCROW (PTY) LTD,9841168173,2019/356289/07,Private Company,4690306891,A,2,28,johnny@ieint.com,836254725,,,"IE Business Center  2nd Floor
Cnr of Buiten Street & StatewayWelkom
Free State
South Africa
9459",1,1,2020
P0205,KHUMOENTLE INVESTMENTS (PTY) LTD,9793374175,2019/349027/07,Private Company,,,2,28,JOHNNY@IEINT.COM,836254725,,,"IE Business Center  2nd Floor
Cnr of Buiten Street & StatewayWelkom
Free State
South Africa
9459",1,1,2020
P0207,NEW ERA HEALTH (PTY) LTD,9307578220,2018/387581/07,Private Company,4960287086,B,2,28,michelle@abcinvestments.co.za,,,,"MSC HOUSE 1 MEDITERRANEAN ST  FORESHORE
FORESHORE CAPE TOWN CITY CENTRECAPE TOWN
WESTERN PROVINCE
South Africa
8000",1,1,2019
P0208,BOKAMOSO PEELETSO (PTY) LTD,,2019/349159/07,Private Company,,,2,28,shelleymaylyle@gmail.com,781464113,,,"21 COLORADO
38 BASIL STREET
FERNDALE
RANDBURG
GAUTENG
South Africa
2194",0,1,2020
P0209,NUTRIVITA (PTY) LTD,9478575187,2017/208314/07,Private Company,4420278188,,2,28,accounts@nutrivita.co.za,842092331,,,"MINI FACTORY UNIT 9
2 UMKHOMAZI DRIVE DUBE TRADE ZONEDUBE TRADEPORT
KWA ZULU NATAL
South Africa
4399",1,1,2018
P0210,VILLAGE PLUS (PTY) LTD,9599810182,2019/443171/07,Private Company,,,2,28,hoorzukbjh64@gmail.com,,,,"464 WISTERIA AVENUE
FAERIE GLEN X73PRETORIA
GAUTENG
South Africa
2094",0,1,2020
P0211,SMART VILLAGE PROPERTY (PTY) LTD,9600799184,2019/443865/07,Private Company,,,2,28,hoorzukbjh64@gmail.com,844043839,,,"464 WISTERIA AVENUE
FAERIE GLEN X73PRETORIA
GAUTENG
South Africa
2094",0,1,2020
P0214,ALTERNATIVEINFRA (PTY) LTD,9597814186,2019/443707/07,Private Company,,,2,28,hoorzukbjh64@gmail.com,844043839,,,"464 WISTERIA AVENUE
FAERIE GLEN X73PRETORIA
GAUTENG
South Africa
2094",0,1,2020
P0215,MMAKALA HOLDINGS (PTY) LTD,9614665181,2019/442893/07,Private Company,,,2,28,hoorzukbjh64@gmail.com,,,,"3 VENUS STREET
STER PARKPOLOKWANE
LIMPOPO
South Africa
700",0,1,2020
P0216,CORAL LAGOON PROPERTY (PTY) LTD,9274634238,2019/442900/07,Private Company,,,2,28,johnny@ieint.com,,,,"182 CONSTANTIA ROAD
DAGBREEKWELKOM
FREE STATE
South Africa
9459",1,1,2020
P0217,MEDICAL RADIODIAGNOSTICS (PTY) LTD,9206423197,2014/147902/07,Private Company,4900287501,B,2,28,jolener@newerahealth.co.za,,,,"MSC HOUSE 1 MEDITERRANEAN STREET
FORESHORE CAPE TOWN CITY CENTRECAPE TOWN
WESTERN CAPE
South Africa
8000",1,1,2015
P0218,HOORZUK HOLDINGS (PTY) LTD,9806395175,2019/42604/07,Private Company,,,2,28,alwyn48@yahoo.com,,,,"3 VENUS STREET
STER PARKPOLOLWANE
LIMPOPO
South Africa
700",0,1,2020
P0219,HOORZUK INVESTMENTS (PTY) LTD,9807392171,2019/462622/07,Private Company,,,2,28,alwyn48@yahoo.com,,,,"464 WISTERIA AVENUE
FAERIE GLEN X73PRETORIA
GAUTENG
South Africa
2094",0,1,2020
P0221,KNOWLEDGE FACTORY (PTY) LTD,,2010/020642/07,Private Company,4170257267,,2,28,vasha.reddy@systemiclogic.net,,,,"24 PETER PLACE
LYME PARKBRYANSTON
GAUTENG
RSA
2191",0,1,2011
P0222,FRANKIE BESOKE INVESTMENTS (PTY) LTD,,2018/327864/07,Private Company,,,2,28,,,,,"38 WROXHAM ROAD 56 ST PAULS
PAULSHOFSANDTON
GAUTENG
RSA
2196",0,1,2019
P0223,IE CAPITAL VENTURES (PTY) LTD,9167664243,2019/491437/07,Private Company,4320316476,A,2,28,johnny@ieint.com,836254725,,,"IE Business Center  2nd Floor
Cnr of Buiten Street & StatewayWelkom
Free State
South Africa
9459",1,1,2020
P0224,ABC HEALTHCARE (PTY) LTD,9725447172,2019/195231/07,Private Company,4330287048,A,2,28,polly@abcinvestments.co.za,,,,"26 PERM STREET
SONNEGLANS EXT 27SONNEGLAN
GAUTENG
South Africa
2158",1,1,
P0225,ABC REAL ESTATE (PTY) LTD,9448382193,2019/204305/07,Private Company,4190287021,B,2,28,polly@abcinvestments.co.za,,,,"26 PERM STREET  EXT 27
SONNEGLANSSONNEGLANS
GAUTENG
South Africa
2158",1,1,2020
P0227,LA MATTA (PTY) LTD,9289679236,2019/556848/07,Private Company,4360292850,,2,28,Carlob@themaverickgroup.co.za,832227175,,,"UNIT S14 & S15  SPEARHEAD BUSINESS PARK
MONTAGUE DRIVE
MONTAGUE GARDENS
CAPE TOWN
WESTERN CAPE
South Africa
7441",1,1,2020
P0231,DSHAVHANI PLANT HIRE (PTY) LTD RESIGNED,9378871199,2019/553520/07,Private Company,,,2,28,Spmulidzi@gmail.com,Donald-08142967,,,"109 ORANJE STREET
RANDLES PARKKLERKSDORP
NORTH WEST
South Africa
2571",0,1,2020
P0232,MELIS BOTTLESTORE (PTY) LTD,9110541241,2019/144793/07,Private Company,,,2,28,chrystal@pittas.co.za,799007952,,,"31 GOVERNMENT AVENUE
VIRGINIAVIRGINIA
FREE STATE
South Africa
9430",1,1,2020
P0233,TUKULA CONNECTED  (PTY) LTD,9395779193,2019/600765/07,Private Company,,,2,28,johnny@ieint.com,836254725,,,"182 CONSTANTIA ROAD
DAGBREEKWELKOM
FREE STATE
South Africa
9459",1,1,2020
P0234,KHUMOENTLE PROJECTS AND TRADING (PTY) LTD,9051935279,2019/404976/07,Private Company,,,2,28,johnny@ieint.com,836254725,,,"IE Business Center  2nd Floor
Cnr of Buiten Street & StatewayWelkom
Free State
South Africa
9459",1,1,2020
P0235,CATTLEWORX (PTY) LTD,9662007187,2020/011332/07,Private Company,,,2,28,johannf@cattleworx.co.za,768403612,,,"749 LOBELIA STREET
MORELETA PARKPRETORIA
GAUTENG
South Africa
181",1,1,
P0236,KHABOKEDI ANKONE JOINT VENTURE (PTY) LTD,9097277256,2020/026840/07,Private Company,,,2,28,sipho@khabokedi.co.za,795098929,,,"NHLOPHENKULU RESERVE
KWAGABHDLA AREANONGOMA
KWA-ZULU NATAL
South Africa
3950",1,1,2020
P0237,JVA PROPERTY RENTAL (PTY) LTD,9190113424,2020/094211/07,Private Company,,,2,28,ledmatlec@gmail.com,823000867,,,"18 Eleventh Street
Voorspoed OosWelkom
Free State
South Africa
9459",1,1,2020
P0238,CIRCO LONG STREET (PTY) LTD,9763639177,2019/600782/07,Private Company,4310302130,B,2,28,accounts@mavericktelecom.co.za,,,,"UNIT S14 & S15  SPEARHEAD BUSINESS PARK
MONTAGUE DRIVE
MONTAGUE GARDENS
CAPE TOWN
WESTERN CAPE
South Africa
7441",1,1,2020
P0239,ULTRA PRO TRANSPORT (PTY) LTD,9901388174,2020/491814/07,Private Company,4880296068,A,2,28,fsalvado@dominic.co.za,834976708,,,"17 LANGENHOVEN AVENUE
JAN CILLIERS PARKWELKOM
FREE STATE
South Africa
9459",1,1,2021
P0240,RETAIL PROPERTY STILFONTEIN (PTY) LTD,,2020/518339/07,Private Company,4440297903,C,2,28,stavrou7@gmail.com,823085354,,,"6 PALALA STREET
STILFONTEINSTILFONTEIN
NORTH WEST
RSA
2570",1,1,2021
P0241,ALEXCALE (PTY) LTD,9443713178,2014/106212/07,Private Company,,,1,31,alexcale555@gmail.com,670973066,,,"74 ROMEO STREET
BEDELIAWELKOM
FREE STATE
South Africa
9459",0,1,2014
P0242,MATOKE ENVIROMENTAL (PTY) LTD,,2015/156060/07,Private Company,,,2,28,romeoc@khabokedi.co.za,795098929,,,"3 CHLOOR STREET
ALRODEALBERTON
GAUTENG
RSA
1451",1,1,2016
P0243,DIE BAARD (PTY) LTD,9841579171,2020/634614/07,Private Company,,,12,31,accounts@mavericktelecom.co.za,,,,,1,1,
P0244,SOVEREIGN CONSTRUCTION TRADING (PTY) LTD,9018649278,2018/273851/07,Private Company,4600282331,,2,28,janco@sovereignconstruction.co.za,,,,"13 LAUREL AVENUE
RIEBEECKSTADWELKOM
FREE STATE
South Africa
9459",1,1,2019
P0246,SHESHADOTCOM (PTY) LTD RESIGNED,9709596176,2019/383632/07,Private Company,,,7,31,motaungjulz@gmail.com,72650268,,,,0,1,
